PostalCode,PhoneAreaCode
8001,+27
2196,+27
2193,+27
0182,+27
10001,+1
90028,+1
60601,+1
77002,+1
NW1 6XE,+44
M1 1PP,+44
B1 2HF,+44
EH1 1RE,+44
10001,+1
80201,+1
79901,+1
48201,+1
20001,+1
02101,+1
38101,+1
37201,+1
21201,+1
73101,+1
89101,+1
40201,+1
53201,+1
87101,+1
85701,+1
93701,+1
95801,+1
64101,+1
85201,+1
23450,+1
30301,+1
94108,+1
43208,+1
46208,+1
76108,+1
28208,+1
98108,+1
80208,+1
79908,+1
48208,+1
20008,+1
8001,+27
1609,+27
1684,+27
2128,+27
2055,+27
2191,+27
